"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"465","AB","2020-09-04",82,82,0,0,0,"CM"
"466","AB","2020-03-04",13,2,1,0,10,"CM"
"467","AB","2020-09-09",75,74,0,1,0,"CM"
"468","AB","2020-09-12",46,46,0,0,0,"CM"
"469","AB","2020-07-19",0,0,0,0,0,"CM"
"470","AB","2020-03-14",113,28,1,0,84,"CM"
"471","AB","2020-09-18",30,30,0,0,0,"CM"
"472","AB","2020-09-17",35,35,0,0,0,"CM"
"473","AB","2020-08-18",40,40,0,0,0,"CM"
"474","AB","2020-09-10",73,73,0,0,0,"CM"
"475","AL","2020-06-17",0,0,0,0,0,"AN"
"476","AL","2020-06-22",1,1,0,0,0,"AN"
"477","AL","2020-06-23",1,1,0,0,0,"AN"
"478","AL","2020-06-15",1,1,0,0,0,"AN"
"479","AL","2020-06-09",1,1,0,0,0,"AN"
"480","AL","2020-06-18",1,1,0,0,0,"AN"
"481","AL","2020-06-20",0,0,0,0,0,"AN"
"482","AL","2020-06-16",1,1,0,0,0,"AN"
"483","AL","2020-06-14",1,1,0,0,0,"AN"
"484","AL","2020-06-29",4,4,0,0,0,"AN"
